Date,Price,Open,High,Low,,
9/14/2008,9.775,9.69,9.775,9.69,,
9/7/2008,9.775,9.69,9.775,9.69,,
8/31/2008,9.775,9.69,9.775,9.69,,
8/24/2008,9.775,9.69,9.775,9.69,,
8/17/2008,9.775,9.69,9.775,9.69,,
8/10/2008,9.775,9.69,9.775,9.69,,
8/3/2008,9.775,9.69,9.775,9.69,,
7/27/2008,9.775,9.69,9.775,9.69,,
7/20/2008,9.775,9.69,9.775,9.69,,
7/13/2008,9.775,9.69,9.775,9.69,,
7/6/2008,9.765,9.67,9.765,9.67,,
6/29/2008,9.575,9.54,9.575,9.54,,
6/22/2008,9.6465,9.5985,9.6465,9.5985,,
6/15/2008,9.575,9.54,9.575,9.54,,
6/8/2008,9.6272,9.5793,9.6272,9.5793,,
6/1/2008,9.6175,9.5697,9.6175,9.5697,,
5/25/2008,9.6118,9.564,9.6118,9.564,,
5/18/2008,9.6002,9.5525,9.6002,9.5525,,
5/11/2008,9.5907,9.543,9.5907,9.543,,
5/4/2008,9.583,9.5353,9.583,9.5353,,
4/27/2008,9.5754,9.5277,9.5754,9.5277,,
4/20/2008,9.57,9.52,9.57,9.52,,
4/13/2008,9.56,9.51,9.56,9.51,,
4/6/2008,9.55,9.5,9.55,9.5,,
3/30/2008,9.51,9.46,9.51,9.46,,
3/23/2008,9.51,9.46,9.51,9.46,,
3/16/2008,9.52,9.47,9.52,9.47,,
3/9/2008,9.46,9.41,9.46,9.41,,
3/2/2008,9.32,9.27,9.32,9.27,,
2/24/2008,9.35,9.3,9.35,9.3,,
2/17/2008,9.32,9.27,9.32,9.27,,
2/10/2008,9.32,9.27,9.32,9.27,,
2/3/2008,9.3,9.25,9.3,9.25,,
1/27/2008,9.28,9.23,9.28,9.23,,
1/20/2008,9.25,9.2,9.25,9.2,,
1/13/2008,9.25,9.2,9.25,9.2,,
1/6/2008,9.2,9.15,9.2,9.15,,
12/30/2007,9.2,9.15,9.2,9.15,,
12/23/2007,9.2,9.15,9.2,9.15,,
12/16/2007,9.2,9.15,9.2,9.15,,
12/9/2007,9.09,9.04,9.09,9.04,,
12/2/2007,9.09,9.04,9.09,9.04,,
11/25/2007,9.09,9.04,9.09,9.04,,
11/18/2007,9.09,9.04,9.09,9.04,,
11/11/2007,9.09,9.04,9.09,9.04,,
11/4/2007,9.09,9.04,9.09,9.04,,
10/28/2007,9.09,9.04,9.09,9.04,,
10/21/2007,9.09,9.04,9.09,9.04,,
10/14/2007,9.0895,9.0395,9.0895,9.0395,,
10/7/2007,9.09,9.04,9.09,9.04,,
9/30/2007,9.0895,9.0395,9.0895,9.0395,,
9/23/2007,9.09,9.04,9.09,9.04,,
9/16/2007,9.09,9.04,9.09,9.04,,
9/9/2007,9.09,9.04,9.09,9.04,,
9/2/2007,9.09,9.04,9.09,9.04,,
8/26/2007,9.0803,9.0351,9.0803,9.0351,,
8/19/2007,9.08,9.03,9.08,9.03,,
8/12/2007,9.08,9.03,9.08,9.03,,
8/5/2007,9.08,9.03,9.08,9.03,,
7/29/2007,9.08,9.03,9.08,9.03,,
7/22/2007,9.07,9.02,9.07,9.02,,
7/15/2007,9.07,9.02,9.07,9.02,,
